,tx_date,tx_count,Tx_volume_Ether,tx_count_ERC20,Tx_volume_ERC20,Volume($),Market Cap($),DAU,CUM
0,2015-10-30,7941,1209372.484197744,3.0,2e-15,2429200,77401817,7501,7501
1,2015-10-31,7557,276417.8861926794,0.0,0.0,673892,68163368,7076,14577
2,2015-11-01,6915,145524.3736632436,0.0,0.0,588913,78530263,6516,21093
3,2015-11-02,6558,351890.3252358131,1.0,5e-16,1145200,73654327,6223,27316
4,2015-11-03,7399,595172.0165752954,30.0,8.001247646109999e-07,1907690,75434114,6973,34289
5,2015-11-04,7037,805279.2809739419,18.0,0.0003006000019211,3060340,66947930,6785,41074
6,2015-11-05,7498,344177.2381576182,12.0,0.0005102010106,1179840,66716645,7150,48224
7,2015-11-06,7882,938177.7125271261,0.0,0.0,913666,69004595,7096,55320
8,2015-11-07,10996,425968.4191117488,0.0,0.0,890187,69172171,7762,63082
9,2015-11-08,12413,896689.2152949413,18.0,2.00000863e-10,1021460,76614488,11494,74576
10,2015-11-09,7689,946972.7186752676,39.0,0.0021400000051648477,2045290,74537426,7346,81922
11,2015-11-10,8151,891132.5009798972,39.0,0.00019500000000000019,854581,69717801,7049,88971
12,2015-11-11,10217,301403.98011445114,27.0,0.00010500040002,1278580,59103443,7185,96156
13,2015-11-12,9534,280944.6797354017,5.0,0.0020049995999999997,806156,66880152,7202,103358
14,2015-11-13,7891,466140.02053751267,3.0,0.00500000000000012,543671,67529354,6863,110221
15,2015-11-14,7211,283617.9136551191,1.0,1e-14,372514,66410518,6872,117093
16,2015-11-15,7170,175558.45399726197,4.0,2e-05,411848,67745801,6887,123980
17,2015-11-16,7442,435998.2422889763,2.0,2.4000000000000003e-15,620945,69458011,7066,131046
18,2015-11-17,7145,1157255.4504056573,0.0,0.0,1145440,75392162,6854,137900
19,2015-11-18,7373,199011.47477591116,1.0,1e-14,681104,74320769,7079,144979
20,2015-11-19,8876,274435.5759725957,0.0,0.0,443528,71517342,6998,151977
21,2015-11-20,6348,194574.87131049743,2.0,2e-13,614335,69247998,6054,158031
22,2015-11-21,6822,134094.469887511,0.0,0.0,455976,73107357,6543,164574
23,2015-11-22,7083,256032.7116262586,0.0,0.0,372173,72523507,6811,171385
24,2015-11-23,8260,684591.9541215062,0.0,0.0,441875,70970606,6981,178366
25,2015-11-24,7152,393639.38337651425,0.0,0.0,524195,67487356,6843,185209
26,2015-11-25,7098,188350.23041391218,0.0,0.0,622991,64760707,6797,192006
27,2015-11-26,7278,970682.711394449,2.0,4.5000000000000004e-17,947473,66330892,7009,199015
28,2015-11-27,6639,679065.0324089762,0.0,0.0,403813,65135635,6268,205283
29,2015-11-28,6817,120693.88710113094,3.0,1.5000000000000002e-05,462464,68742122,6441,211724
30,2015-11-29,6853,190336.97666764294,1.0,5e-06,448358,65980042,6538,218262
31,2015-11-30,8986,235620.56009073614,0.0,0.0,784439,65589555,6510,224772
32,2015-12-01,6794,223148.3692149045,0.0,0.0,652857,65738067,6458,231230
33,2015-12-02,6502,294731.5263954783,1.0,5e-12,506307,61730775,6068,237298
34,2015-12-03,6971,221298.84468767713,1.0,1e-11,539969,61070307,6624,243922
35,2015-12-04,6898,167927.63539345708,16.0,0.00010000000031659402,241278,63189182,6378,250300
36,2015-12-05,6784,143950.6986104715,7.0,1.0042214e-11,232743,64895497,6418,256718
